,zip,year,count,process_time
0,10000,2010,5,5.4
1,10000,2011,71,5.86619718309859
2,10000,2012,39,6.564102564102564
3,10000,2013,51,5.3196078431372555
4,10000,2014,56,4.576785714285713
5,10000,2015,64,4.15625
6,10000,2016,55,7.150909090909092
7,10000,2017,106,6.51698113207547
8,10000,2018,124,4.1766129032258075
9,10001,2010,482,4.173443983402489
10,10001,2011,1468,3.951089918256126
11,10001,2012,1118,4.39007155635062
12,10001,2013,1319,4.4650492797573955
13,10001,2014,1354,4.344977843426882
14,10001,2015,1992,4.45572289156627
15,10001,2016,3476,4.811449942462611
16,10001,2017,2507,5.0716792979657095
17,10001,2018,2387,5.360703812316725
18,10002,2010,791,5.04854614412136
19,10002,2011,2574,5.559207459207469
20,10002,2012,3094,5.098125404007759
21,10002,2013,3862,4.312351113412745
22,10002,2014,4503,4.556406839884547
23,10002,2015,5975,5.1102928870292965
24,10002,2016,7022,5.405724864710906
25,10002,2017,7687,5.388122804735276
26,10002,2018,6442,5.992067680844468
27,10003,2010,576,4.897743055555555
28,10003,2011,2102,4.828211227402484
29,10003,2012,2427,4.882035434693052
30,10003,2013,2690,5.275576208178443
31,10003,2014,3392,4.985288915094343
32,10003,2015,4142,5.87530178657653
33,10003,2016,4663,6.767167059832719
34,10003,2017,4421,6.07170323456231
35,10003,2018,3665,5.584856753069582
36,10004,2010,37,4.197297297297297
37,10004,2011,169,5.627810650887575
38,10004,2012,136,4.9227941176470615
39,10004,2013,202,4.267821782178217
40,10004,2014,296,4.9962837837837855
41,10004,2015,455,4.087912087912088
42,10004,2016,568,5.3804577464788705
43,10004,2017,723,4.895435684647301
44,10004,2018,675,5.342222222222222
45,10005,2010,55,4.7254545454545465
46,10005,2011,271,4.618819188191882
47,10005,2012,241,3.856016597510372
48,10005,2013,246,5.232113821138212
49,10005,2014,380,6.021315789473679
50,10005,2015,584,4.543835616438357
51,10005,2016,759,5.2065876152832615
52,10005,2017,724,4.874171270718229
53,10005,2018,678,5.450000000000002
54,10006,2010,14,2.3571428571428568
55,10006,2011,194,6.613917525773198
56,10006,2012,81,5.348148148148148
57,10006,2013,101,5.095049504950495
58,10006,2014,152,5.032236842105266
59,10006,2015,207,6.816908212560387
60,10006,2016,374,5.135026737967918
61,10006,2017,282,5.273404255319152
62,10006,2018,378,5.828042328042327
63,10007,2010,58,3.365517241379309
64,10007,2011,254,4.83228346456693
65,10007,2012,242,5.119008264462811
66,10007,2013,301,5.879069767441856
67,10007,2014,394,5.318781725888327
68,10007,2015,740,4.571756756756753
69,10007,2016,1219,6.175635767022151
70,10007,2017,1485,5.393198653198653
71,10007,2018,1034,5.658510638297873
72,10009,2010,671,4.764083457526087
73,10009,2011,2547,4.524224577934843
74,10009,2012,3011,5.099501826635693
75,10009,2013,3877,4.506087180809914
76,10009,2014,4348,4.715340386384529
77,10009,2015,4869,5.709755596631744
78,10009,2016,5814,6.990746474028197
79,10009,2017,5952,6.406787634408567
80,10009,2018,5304,5.5383295625942734
81,10010,2010,187,5.392513368983956
82,10010,2011,840,4.461547619047616
83,10010,2012,713,5.303646563814859
84,10010,2013,950,5.088315789473683
85,10010,2014,1321,4.919682059046176
86,10010,2015,1571,4.394589433481858
87,10010,2016,1618,4.985846724351056
88,10010,2017,1925,5.791428571428578
89,10010,2018,1767,6.661686474250159
