,zip,year,type,count,efficiency
0,10000,2010,Noise,3,2.8333333333333335
1,10000,2010,Street condition related,2,9.25
2,10000,2011,Disturbance,1,0.8
3,10000,2011,Miscellaneous,3,13.933333333333332
4,10000,2011,Noise,55,5.812727272727272
5,10000,2011,Street condition related,6,5.033333333333333
6,10000,2011,Traffic related,6,4.0
7,10000,2012,Disturbance,1,1.3
8,10000,2012,Miscellaneous,1,0.6
9,10000,2012,Noise,32,6.234375
10,10000,2012,Street condition related,2,7.55
11,10000,2012,Traffic related,3,13.166666666666666
12,10000,2013,Disturbance,3,2.766666666666667
13,10000,2013,Miscellaneous,1,0.5
14,10000,2013,Noise,37,5.5
15,10000,2013,Street condition related,8,6.924999999999999
16,10000,2013,Traffic related,2,1.8
17,10000,2014,Disturbance,1,1.9
18,10000,2014,Miscellaneous,1,16.5
19,10000,2014,Noise,41,3.9268292682926815
20,10000,2014,Street condition related,6,6.133333333333334
21,10000,2014,Traffic related,7,5.728571428571429
22,10000,2015,Miscellaneous,5,4.9399999999999995
23,10000,2015,Noise,44,3.870454545454545
24,10000,2015,Street condition related,9,4.466666666666667
25,10000,2015,Traffic related,6,5.133333333333333
26,10000,2016,Miscellaneous,5,5.92
27,10000,2016,Noise,37,7.656756756756758
28,10000,2016,Street condition related,5,9.180000000000001
29,10000,2016,Traffic related,8,4.3125
30,10000,2017,Disturbance,1,15.7
31,10000,2017,Miscellaneous,4,8.75
32,10000,2017,Noise,90,6.169999999999998
33,10000,2017,Street condition related,6,10.700000000000001
34,10000,2017,Traffic related,5,4.12
35,10000,2018,Disturbance,2,6.550000000000001
36,10000,2018,Miscellaneous,3,6.266666666666667
37,10000,2018,Noise,110,4.340000000000002
38,10000,2018,Street condition related,5,0.9399999999999998
39,10000,2018,Traffic related,4,0.975
40,10001,2010,0,2,1.35
41,10001,2010,Disturbance,1,2.2
42,10001,2010,Miscellaneous,5,3.5599999999999996
43,10001,2010,Noise,362,4.074033149171273
44,10001,2010,Street condition related,17,6.023529411764706
45,10001,2010,Traffic related,95,4.333684210526315
46,10001,2011,Disturbance,10,7.010000000000001
47,10001,2011,Miscellaneous,27,4.311111111111112
48,10001,2011,Noise,1092,3.599084249084242
49,10001,2011,Street condition related,90,5.978888888888888
50,10001,2011,Traffic related,249,4.600000000000003
51,10001,2012,Disturbance,7,5.314285714285714
52,10001,2012,Miscellaneous,30,5.286666666666667
53,10001,2012,Noise,811,3.9732429099876643
54,10001,2012,Street condition related,56,6.11607142857143
55,10001,2012,Traffic related,214,5.362149532710279
56,10001,2013,Disturbance,7,7.7714285714285705
57,10001,2013,Miscellaneous,38,5.255263157894735
58,10001,2013,Noise,959,4.253493222106359
59,10001,2013,Street condition related,56,5.1428571428571415
60,10001,2013,Traffic related,259,4.896525096525098
61,10001,2014,Disturbance,4,6.625
62,10001,2014,Miscellaneous,78,4.955128205128204
63,10001,2014,Noise,849,4.091519434628975
64,10001,2014,Street condition related,44,5.311363636363636
65,10001,2014,Traffic related,379,4.650923482849608
66,10001,2015,Disturbance,3,5.366666666666667
67,10001,2015,Miscellaneous,90,4.097777777777779
68,10001,2015,Noise,1288,4.266537267080745
69,10001,2015,Street condition related,142,5.230985915492961
70,10001,2015,Traffic related,469,4.8034115138592774
71,10001,2016,Disturbance,7,3.042857142857143
72,10001,2016,Miscellaneous,83,4.713253012048192
73,10001,2016,Noise,2594,4.7549344641480475
74,10001,2016,Street condition related,202,3.9678217821782202
75,10001,2016,Traffic related,590,5.3835593220339
76,10001,2017,Disturbance,19,4.389473684210526
77,10001,2017,Miscellaneous,66,4.475757575757576
78,10001,2017,Noise,1660,4.912409638554231
79,10001,2017,Street condition related,99,6.975757575757578
80,10001,2017,Traffic related,663,5.2650075414781305
81,10001,2018,Disturbance,19,3.3263157894736843
82,10001,2018,Miscellaneous,93,4.778494623655915
83,10001,2018,Noise,1399,5.136240171551104
84,10001,2018,Street condition related,73,5.95068493150685
85,10001,2018,Traffic related,803,5.813698630136984
86,10002,2010,0,1,0.3
87,10002,2010,Disturbance,5,2.2199999999999998
88,10002,2010,Miscellaneous,5,1.98
89,10002,2010,Noise,627,5.085486443381175
90,10002,2010,Street condition related,16,8.64375
91,10002,2010,Traffic related,137,4.709489051094891
92,10002,2011,Disturbance,28,4.107142857142857
93,10002,2011,Miscellaneous,34,4.402941176470588
94,10002,2011,Noise,2013,5.649428713363146
95,10002,2011,Street condition related,52,5.178846153846154
96,10002,2011,Traffic related,447,5.376062639821021
97,10002,2012,Disturbance,16,4.649999999999999
98,10002,2012,Miscellaneous,53,5.305660377358489
99,10002,2012,Noise,2656,5.171423192771081
100,10002,2012,Street condition related,40,5.402500000000002
101,10002,2012,Traffic related,329,4.4577507598784205
102,10002,2013,Disturbance,19,4.810526315789473
103,10002,2013,Miscellaneous,44,3.9227272727272733
104,10002,2013,Noise,3356,4.189272943980931
105,10002,2013,Street condition related,47,6.238297872340425
106,10002,2013,Traffic related,396,5.1462121212121215
107,10002,2014,Disturbance,26,3.088461538461538
108,10002,2014,Miscellaneous,97,3.956701030927835
109,10002,2014,Noise,3766,4.5517790759426635
110,10002,2014,Street condition related,66,3.98030303030303
111,10002,2014,Traffic related,548,4.83339416058394
112,10002,2015,Disturbance,22,3.7454545454545456
113,10002,2015,Miscellaneous,110,5.960909090909089
114,10002,2015,Noise,4788,5.020593149540526
115,10002,2015,Street condition related,51,6.937254901960785
116,10002,2015,Traffic related,1004,5.381972111553778
117,10002,2016,Disturbance,13,7.938461538461539
118,10002,2016,Miscellaneous,166,6.628915662650605
119,10002,2016,Noise,5442,5.405126791620724
120,10002,2016,Street condition related,68,5.970588235294117
121,10002,2016,Traffic related,1333,5.202325581395359
122,10002,2017,Disturbance,49,4.848979591836736
123,10002,2017,Miscellaneous,116,5.378448275862067
124,10002,2017,Noise,6395,5.28334636434715
125,10002,2017,Street condition related,76,6.27236842105263
126,10002,2017,Traffic related,1051,5.987916270218838
127,10002,2018,Disturbance,57,5.452631578947369
128,10002,2018,Miscellaneous,73,7.523287671232877
129,10002,2018,Noise,4876,6.054757998359313
130,10002,2018,Street condition related,79,6.859493670886077
131,10002,2018,Traffic related,1357,5.656595431098007
132,10003,2010,0,6,9.700000000000001
133,10003,2010,Disturbance,3,0.5
134,10003,2010,Miscellaneous,9,5.999999999999999
135,10003,2010,Noise,457,4.665864332603938
136,10003,2010,Street condition related,23,5.626086956521738
137,10003,2010,Traffic related,78,5.714102564102565
138,10003,2011,Disturbance,30,4.6
139,10003,2011,Miscellaneous,38,6.526315789473684
140,10003,2011,Noise,1651,4.572925499697151
141,10003,2011,Street condition related,140,6.795000000000002
142,10003,2011,Traffic related,243,5.192181069958846
143,10003,2012,Disturbance,20,6.305000000000001
144,10003,2012,Miscellaneous,43,3.6209302325581385
145,10003,2012,Noise,2007,4.739362232187346
146,10003,2012,Street condition related,122,5.71639344262295
147,10003,2012,Traffic related,235,5.7770212765957485
148,10003,2013,Disturbance,26,5.196153846153847
149,10003,2013,Miscellaneous,48,7.812499999999999
150,10003,2013,Noise,2234,5.114368845120857
151,10003,2013,Street condition related,74,8.132432432432433
152,10003,2013,Traffic related,308,5.3698051948051955
153,10003,2014,Disturbance,21,3.6904761904761907
154,10003,2014,Miscellaneous,112,5.554464285714288
155,10003,2014,Noise,2771,4.836845904005776
156,10003,2014,Street condition related,65,6.678461538461536
157,10003,2014,Traffic related,423,5.6111111111111125
158,10003,2015,Disturbance,20,5.505000000000001
159,10003,2015,Miscellaneous,202,5.327722772277227
160,10003,2015,Noise,3344,5.752033492822963
161,10003,2015,Street condition related,86,7.187209302325582
162,10003,2015,Traffic related,490,6.727142857142858
163,10003,2016,Disturbance,28,8.035714285714286
164,10003,2016,Miscellaneous,155,7.650322580645162
165,10003,2016,Noise,3814,6.652254850550596
166,10003,2016,Street condition related,104,7.785576923076918
167,10003,2016,Traffic related,562,7.051779359430607
168,10003,2017,Disturbance,35,5.051428571428572
169,10003,2017,Miscellaneous,171,6.626315789473685
170,10003,2017,Noise,3551,6.0571669952126115
171,10003,2017,Street condition related,70,7.057142857142857
172,10003,2017,Traffic related,594,5.942929292929285
173,10003,2018,Disturbance,33,6.015151515151516
174,10003,2018,Miscellaneous,114,5.098245614035088
175,10003,2018,Noise,2851,5.582848123465461
176,10003,2018,Street condition related,67,5.102985074626865
177,10003,2018,Traffic related,600,5.716999999999997
178,10004,2010,Miscellaneous,1,2.5
179,10004,2010,Noise,23,2.8608695652173917
180,10004,2010,Street condition related,4,6.225
181,10004,2010,Traffic related,9,6.900000000000001
182,10004,2011,Disturbance,1,0.3
183,10004,2011,Miscellaneous,4,7.375
184,10004,2011,Noise,76,4.4710526315789485
185,10004,2011,Street condition related,27,8.374074074074073
186,10004,2011,Traffic related,61,5.82622950819672
187,10004,2012,Disturbance,1,3.4
188,10004,2012,Miscellaneous,1,1.0
189,10004,2012,Noise,56,4.6625000000000005
190,10004,2012,Street condition related,14,4.821428571428571
191,10004,2012,Traffic related,64,5.2578125
192,10004,2013,Miscellaneous,11,4.254545454545454
193,10004,2013,Noise,102,3.6392156862745115
194,10004,2013,Street condition related,18,8.350000000000001
195,10004,2013,Traffic related,71,4.138028169014085
196,10004,2014,Miscellaneous,11,8.40909090909091
197,10004,2014,Noise,146,4.896575342465753
198,10004,2014,Street condition related,14,4.821428571428571
199,10004,2014,Traffic related,125,4.832000000000001
200,10004,2015,Miscellaneous,16,4.0062500000000005
201,10004,2015,Noise,124,3.8088709677419357
202,10004,2015,Street condition related,114,4.074561403508772
203,10004,2015,Traffic related,201,4.274129353233833
204,10004,2016,Disturbance,1,5.6
205,10004,2016,Miscellaneous,16,7.225
206,10004,2016,Noise,223,5.313004484304933
207,10004,2016,Street condition related,106,4.991509433962264
208,10004,2016,Traffic related,222,5.500000000000002
209,10004,2017,Disturbance,1,2.3
210,10004,2017,Miscellaneous,13,3.5846153846153843
211,10004,2017,Noise,159,4.900628930817609
212,10004,2017,Street condition related,271,4.059409594095943
213,10004,2017,Traffic related,279,5.7749103942652305
214,10004,2018,Miscellaneous,12,6.191666666666667
215,10004,2018,Noise,140,4.963571428571427
216,10004,2018,Street condition related,296,5.113175675675678
217,10004,2018,Traffic related,227,5.829515418502203
218,10005,2010,Disturbance,2,1.25
219,10005,2010,Noise,43,3.7325581395348837
220,10005,2010,Traffic related,10,9.690000000000001
221,10005,2011,Disturbance,2,13.3
222,10005,2011,Miscellaneous,10,2.98
223,10005,2011,Noise,210,4.089999999999998
224,10005,2011,Street condition related,12,10.258333333333335
225,10005,2011,Traffic related,37,5.7648648648648635
226,10005,2012,Disturbance,2,0.44999999999999996
227,10005,2012,Miscellaneous,4,1.0
228,10005,2012,Noise,179,3.4044692737430164
229,10005,2012,Street condition related,22,6.2272727272727275
230,10005,2012,Traffic related,34,5.23529411764706
231,10005,2013,Disturbance,2,1.05
232,10005,2013,Miscellaneous,5,1.48
233,10005,2013,Noise,146,4.777397260273969
234,10005,2013,Street condition related,28,8.010714285714283
235,10005,2013,Traffic related,65,5.473846153846154
236,10005,2014,Disturbance,1,2.8
237,10005,2014,Miscellaneous,5,7.12
238,10005,2014,Noise,283,5.953356890459363
239,10005,2014,Street condition related,18,6.583333333333333
240,10005,2014,Traffic related,73,6.115068493150684
241,10005,2015,Disturbance,1,2.3
242,10005,2015,Miscellaneous,22,5.145454545454547
243,10005,2015,Noise,278,4.39568345323741
244,10005,2015,Street condition related,132,5.455303030303033
245,10005,2015,Traffic related,151,3.947019867549669
246,10005,2016,Miscellaneous,23,1.3434782608695652
247,10005,2016,Noise,504,5.027380952380954
248,10005,2016,Street condition related,130,5.191538461538462
249,10005,2016,Traffic related,102,6.982352941176472
250,10005,2017,Disturbance,1,1.0
251,10005,2017,Miscellaneous,17,3.7294117647058824
252,10005,2017,Noise,284,5.32147887323944
253,10005,2017,Street condition related,289,4.011418685121108
254,10005,2017,Traffic related,133,5.969172932330827
255,10005,2018,Disturbance,1,0.9
256,10005,2018,Miscellaneous,14,8.9
257,10005,2018,Noise,329,5.3437689969604865
258,10005,2018,Street condition related,212,4.597641509433961
259,10005,2018,Traffic related,122,6.859016393442625
260,10006,2010,Noise,5,0.86
261,10006,2010,Street condition related,2,9.45
262,10006,2010,Traffic related,7,1.4000000000000001
263,10006,2011,Disturbance,1,14.7
264,10006,2011,Miscellaneous,3,2.0333333333333337
265,10006,2011,Noise,148,7.094594594594597
266,10006,2011,Street condition related,10,6.850000000000001
267,10006,2011,Traffic related,32,4.4937499999999995
268,10006,2012,Disturbance,1,15.0
269,10006,2012,Miscellaneous,2,7.95
270,10006,2012,Noise,46,4.378260869565219
271,10006,2012,Street condition related,11,7.863636363636362
272,10006,2012,Traffic related,21,5.447619047619047
273,10006,2013,Miscellaneous,1,3.8
274,10006,2013,Noise,72,4.759722222222222
275,10006,2013,Street condition related,8,7.175
276,10006,2013,Traffic related,20,5.535
277,10006,2014,Miscellaneous,5,6.8
278,10006,2014,Noise,95,5.3021052631578955
279,10006,2014,Street condition related,11,7.2727272727272725
280,10006,2014,Traffic related,41,3.590243902439024
281,10006,2015,Miscellaneous,4,9.6
282,10006,2015,Noise,115,7.64521739130435
283,10006,2015,Street condition related,36,5.233333333333333
284,10006,2015,Traffic related,52,5.867307692307691
285,10006,2016,Miscellaneous,6,3.75
286,10006,2016,Noise,254,4.745275590551183
287,10006,2016,Street condition related,48,7.479166666666665
288,10006,2016,Traffic related,66,5.056060606060607
289,10006,2017,Disturbance,1,7.7
290,10006,2017,Miscellaneous,5,12.779999999999998
291,10006,2017,Noise,123,5.886178861788621
292,10006,2017,Street condition related,56,3.5089285714285707
293,10006,2017,Traffic related,97,5.103092783505156
294,10006,2018,Miscellaneous,6,3.5500000000000007
295,10006,2018,Noise,117,5.729059829059828
296,10006,2018,Street condition related,70,5.071428571428573
297,10006,2018,Traffic related,185,6.250810810810813
298,10007,2010,Disturbance,1,0.1
299,10007,2010,Miscellaneous,1,14.5
300,10007,2010,Noise,33,1.7848484848484851
301,10007,2010,Street condition related,6,6.466666666666666
302,10007,2010,Traffic related,17,4.876470588235295
303,10007,2011,Disturbance,2,0.65
304,10007,2011,Miscellaneous,3,1.5333333333333332
305,10007,2011,Noise,161,4.0360248447204965
306,10007,2011,Street condition related,33,5.87878787878788
307,10007,2011,Traffic related,55,6.867272727272727
308,10007,2012,Disturbance,1,3.9
309,10007,2012,Miscellaneous,2,1.9
310,10007,2012,Noise,108,4.678703703703704
311,10007,2012,Street condition related,53,6.539622641509434
312,10007,2012,Traffic related,78,4.861538461538461
313,10007,2013,Disturbance,2,1.75
314,10007,2013,Miscellaneous,5,1.3599999999999999
315,10007,2013,Noise,157,6.277070063694267
316,10007,2013,Street condition related,47,5.619148936170212
317,10007,2013,Traffic related,90,5.663333333333335
318,10007,2014,Disturbance,2,1.15
319,10007,2014,Miscellaneous,12,5.458333333333335
320,10007,2014,Noise,230,5.490434782608696
321,10007,2014,Street condition related,47,5.206382978723403
322,10007,2014,Traffic related,103,5.051456310679611
323,10007,2015,Disturbance,3,7.333333333333333
324,10007,2015,Miscellaneous,9,5.744444444444444
325,10007,2015,Noise,461,4.462255965292839
326,10007,2015,Street condition related,130,5.039230769230771
327,10007,2015,Traffic related,137,4.359124087591239
328,10007,2016,Disturbance,3,7.966666666666666
329,10007,2016,Miscellaneous,22,6.054545454545454
330,10007,2016,Noise,533,5.670544090056283
331,10007,2016,Street condition related,162,6.69876543209877
332,10007,2016,Traffic related,499,6.5398797595190326
333,10007,2017,Disturbance,1,19.5
334,10007,2017,Miscellaneous,15,2.573333333333333
335,10007,2017,Noise,483,5.607039337474114
336,10007,2017,Street condition related,628,4.547292993630571
337,10007,2017,Traffic related,358,6.667318435754192
338,10007,2018,Disturbance,1,3.2
339,10007,2018,Miscellaneous,17,6.458823529411765
340,10007,2018,Noise,393,5.004580152671752
341,10007,2018,Street condition related,333,5.464564564564563
342,10007,2018,Traffic related,290,6.728965517241383
343,10009,2010,Disturbance,8,1.575
344,10009,2010,Miscellaneous,3,3.266666666666667
345,10009,2010,Noise,554,4.567870036101086
346,10009,2010,Street condition related,16,4.15625
347,10009,2010,Traffic related,90,6.413333333333332
348,10009,2011,Disturbance,26,5.8307692307692305
349,10009,2011,Miscellaneous,23,5.02608695652174
350,10009,2011,Noise,2149,4.350953932061438
351,10009,2011,Street condition related,68,4.226470588235293
352,10009,2011,Traffic related,281,5.759430604982211
353,10009,2012,Disturbance,21,4.152380952380952
354,10009,2012,Miscellaneous,26,5.253846153846153
355,10009,2012,Noise,2611,4.8751819226350275
356,10009,2012,Street condition related,91,6.64835164835165
357,10009,2012,Traffic related,262,6.857633587786256
358,10009,2013,Disturbance,26,4.807692307692307
359,10009,2013,Miscellaneous,20,4.87
360,10009,2013,Noise,3434,4.334245777518941
361,10009,2013,Street condition related,92,6.468478260869568
362,10009,2013,Traffic related,305,5.799344262295083
363,10009,2014,Disturbance,17,4.776470588235294
364,10009,2014,Miscellaneous,103,5.914563106796114
365,10009,2014,Noise,3851,4.443469228771749
366,10009,2014,Street condition related,74,7.3297297297297295
367,10009,2014,Traffic related,303,7.121122112211218
368,10009,2015,Disturbance,17,6.399999999999999
369,10009,2015,Miscellaneous,103,6.535922330097087
370,10009,2015,Noise,4193,5.545146673026476
371,10009,2015,Street condition related,111,6.817117117117119
372,10009,2015,Traffic related,445,6.766966292134832
373,10009,2016,Disturbance,32,4.65
374,10009,2016,Miscellaneous,98,7.652040816326529
375,10009,2016,Noise,4999,6.8782556511302175
376,10009,2016,Street condition related,78,7.214102564102565
377,10009,2016,Traffic related,607,7.9051070840197735
378,10009,2017,Disturbance,28,5.810714285714284
379,10009,2017,Miscellaneous,96,6.377083333333334
380,10009,2017,Noise,5193,6.263778162911595
381,10009,2017,Street condition related,83,7.7722891566265115
382,10009,2017,Traffic related,552,7.582246376811595
383,10009,2018,Disturbance,26,6.361538461538462
384,10009,2018,Miscellaneous,81,5.437037037037038
385,10009,2018,Noise,4460,5.399192825112115
386,10009,2018,Street condition related,139,6.64748201438849
387,10009,2018,Traffic related,598,6.296153846153846
388,10010,2010,Miscellaneous,5,4.82
389,10010,2010,Noise,130,4.676153846153845
390,10010,2010,Street condition related,7,6.700000000000001
391,10010,2010,Traffic related,45,7.322222222222224
392,10010,2011,Disturbance,6,1.2833333333333334
393,10010,2011,Miscellaneous,17,3.8764705882352946
394,10010,2011,Noise,598,4.313210702341135
395,10010,2011,Street condition related,57,6.578947368421052
396,10010,2011,Traffic related,162,4.44320987654321
397,10010,2012,Disturbance,3,2.3666666666666667
398,10010,2012,Miscellaneous,13,4.338461538461538
399,10010,2012,Noise,531,5.0096045197740064
400,10010,2012,Street condition related,34,8.005882352941175
401,10010,2012,Traffic related,132,5.952272727272729
402,10010,2013,Disturbance,6,3.516666666666667
403,10010,2013,Miscellaneous,18,5.088888888888889
404,10010,2013,Noise,721,4.974341192787797
405,10010,2013,Street condition related,27,7.414814814814815
406,10010,2013,Traffic related,178,5.25
407,10010,2014,Disturbance,4,6.725
408,10010,2014,Miscellaneous,28,5.414285714285714
409,10010,2014,Noise,1053,4.888793922127256
410,10010,2014,Street condition related,33,4.548484848484849
411,10010,2014,Traffic related,203,5.036453201970445
412,10010,2015,Disturbance,5,3.8
413,10010,2015,Miscellaneous,72,5.069444444444445
414,10010,2015,Noise,1180,3.8912711864406746
415,10010,2015,Street condition related,55,5.343636363636363
416,10010,2015,Traffic related,259,6.31003861003861
417,10010,2016,Disturbance,9,4.366666666666666
418,10010,2016,Miscellaneous,86,5.808139534883722
419,10010,2016,Noise,1201,4.524396336386343
420,10010,2016,Street condition related,42,7.145238095238095
421,10010,2016,Traffic related,280,6.408571428571426
422,10010,2017,Disturbance,7,5.3999999999999995
423,10010,2017,Miscellaneous,28,5.742857142857143
424,10010,2017,Noise,1559,5.817126363053239
425,10010,2017,Street condition related,33,6.654545454545454
426,10010,2017,Traffic related,298,5.5751677852349015
427,10010,2018,Disturbance,13,4.8769230769230765
428,10010,2018,Miscellaneous,45,6.911111111111109
429,10010,2018,Noise,1373,6.749599417334315
430,10010,2018,Street condition related,38,7.855263157894737
431,10010,2018,Traffic related,298,6.144630872483222
432,10011,2010,Disturbance,3,9.266666666666667
433,10011,2010,Miscellaneous,7,7.957142857142857
434,10011,2010,Noise,365,3.8279452054794514
435,10011,2010,Street condition related,36,6.188888888888886
436,10011,2010,Traffic related,84,5.916666666666669
437,10011,2011,Disturbance,22,7.204545454545454
438,10011,2011,Miscellaneous,38,5.171052631578947
439,10011,2011,Noise,1134,4.759082892416225
440,10011,2011,Street condition related,74,5.639189189189189
441,10011,2011,Traffic related,460,5.238260869565217
442,10011,2012,Disturbance,13,4.253846153846154
443,10011,2012,Miscellaneous,25,5.775999999999999
444,10011,2012,Noise,1404,4.584116809116805
445,10011,2012,Street condition related,83,7.002409638554216
446,10011,2012,Traffic related,287,5.599303135888508
447,10011,2013,Disturbance,8,10.212500000000002
448,10011,2013,Miscellaneous,40,7.0675
449,10011,2013,Noise,1499,4.34162775183456
450,10011,2013,Street condition related,62,7.100000000000003
451,10011,2013,Traffic related,358,5.096648044692734
452,10011,2014,Disturbance,11,6.463636363636363
453,10011,2014,Miscellaneous,77,4.180519480519482
454,10011,2014,Noise,1820,4.489175824175828
455,10011,2014,Street condition related,128,5.847656250000002
456,10011,2014,Traffic related,438,4.73835616438356
457,10011,2015,Disturbance,19,2.5263157894736845
458,10011,2015,Miscellaneous,129,6.493023255813957
459,10011,2015,Noise,2354,4.927740016992353
460,10011,2015,Street condition related,145,7.956551724137933
461,10011,2015,Traffic related,450,5.961777777777784
462,10011,2016,Disturbance,16,4.26875
463,10011,2016,Miscellaneous,101,5.196039603960394
464,10011,2016,Noise,1973,5.283071464774455
465,10011,2016,Street condition related,105,4.879047619047621
466,10011,2016,Traffic related,440,6.014318181818184
467,10011,2017,Disturbance,14,5.2
468,10011,2017,Miscellaneous,106,4.824528301886793
469,10011,2017,Noise,1976,5.511791497975715
470,10011,2017,Street condition related,103,7.145631067961166
471,10011,2017,Traffic related,534,5.69288389513108
472,10011,2018,Disturbance,31,9.05161290322581
473,10011,2018,Miscellaneous,88,6.055681818181819
474,10011,2018,Noise,2163,5.353259361997235
475,10011,2018,Street condition related,154,6.505844155844155
476,10011,2018,Traffic related,642,5.869781931464167
477,10012,2010,0,1,0.4
478,10012,2010,Disturbance,4,2.5
479,10012,2010,Miscellaneous,7,6.0
480,10012,2010,Noise,374,4.082352941176475
481,10012,2010,Street condition related,127,7.2204724409448815
482,10012,2010,Traffic related,47,6.531914893617023
483,10012,2011,Disturbance,18,7.4944444444444445
484,10012,2011,Miscellaneous,25,4.796000000000001
485,10012,2011,Noise,1273,4.639984289080911
486,10012,2011,Street condition related,298,6.735234899328861
487,10012,2011,Traffic related,254,4.571653543307085
488,10012,2012,Disturbance,7,7.785714285714286
489,10012,2012,Miscellaneous,32,5.868750000000002
490,10012,2012,Noise,1100,4.742454545454542
491,10012,2012,Street condition related,276,6.190217391304347
492,10012,2012,Traffic related,269,4.2550185873605955
493,10012,2013,Disturbance,7,7.385714285714286
494,10012,2013,Miscellaneous,19,4.531578947368421
495,10012,2013,Noise,1689,4.697572528123159
496,10012,2013,Street condition related,151,6.180132450331128
497,10012,2013,Traffic related,249,4.279919678714863
498,10012,2014,Disturbance,5,5.92
499,10012,2014,Miscellaneous,56,6.114285714285715
500,10012,2014,Noise,1713,4.545942790426157
501,10012,2014,Street condition related,95,6.213684210526316
502,10012,2014,Traffic related,272,5.176102941176472
503,10012,2015,Disturbance,12,5.433333333333334
504,10012,2015,Miscellaneous,59,4.722033898305084
505,10012,2015,Noise,1933,5.7777030522503905
506,10012,2015,Street condition related,106,5.985849056603775
507,10012,2015,Traffic related,251,6.0446215139442225
508,10012,2016,Disturbance,9,1.7666666666666666
509,10012,2016,Miscellaneous,74,6.8
510,10012,2016,Noise,2027,6.122594967932903
511,10012,2016,Street condition related,398,3.683668341708543
512,10012,2016,Traffic related,422,6.895023696682462
513,10012,2017,Disturbance,15,4.673333333333334
514,10012,2017,Miscellaneous,55,6.874545454545453
515,10012,2017,Noise,2506,5.865602553870705
516,10012,2017,Street condition related,52,6.082692307692308
517,10012,2017,Traffic related,332,6.092469879518072
518,10012,2018,Disturbance,22,4.3909090909090915
519,10012,2018,Miscellaneous,62,4.0919354838709685
520,10012,2018,Noise,2132,5.486819887429653
521,10012,2018,Street condition related,45,6.173333333333334
522,10012,2018,Traffic related,441,5.032653061224489
523,10013,2010,0,6,0.7666666666666667
524,10013,2010,Disturbance,1,1.0
525,10013,2010,Miscellaneous,9,7.722222222222222
526,10013,2010,Noise,248,3.8254032258064528
527,10013,2010,Street condition related,38,5.926315789473683
528,10013,2010,Traffic related,120,3.8875
529,10013,2011,Disturbance,10,6.090000000000001
530,10013,2011,Miscellaneous,25,4.452
531,10013,2011,Noise,937,4.344930629669157
532,10013,2011,Street condition related,87,6.357471264367816
533,10013,2011,Traffic related,522,4.558429118773942
534,10013,2012,Disturbance,4,7.3999999999999995
535,10013,2012,Miscellaneous,16,5.593750000000002
536,10013,2012,Noise,825,4.447151515151512
537,10013,2012,Street condition related,86,4.61744186046512
538,10013,2012,Traffic related,466,3.5594420600858347
539,10013,2013,Disturbance,4,2.35
540,10013,2013,Miscellaneous,26,4.242307692307692
541,10013,2013,Noise,1175,3.4595744680851035
542,10013,2013,Street condition related,64,5.9578125
543,10013,2013,Traffic related,475,3.772631578947367
544,10013,2014,Disturbance,5,6.9
