zip,hour,value
10000,8,1
10000,9,1
10000,10,3
10000,11,2
10000,12,5
10000,13,5
10000,14,4
10000,15,6
10000,16,8
10000,17,16
10000,18,19
10000,19,18
10000,20,11
10000,21,2
10000,22,1
10000,23,1
10001,0,117
10001,1,54
10001,2,34
10001,3,26
10001,4,18
10001,5,15
10001,6,22
10001,7,43
10001,8,45
10001,9,49
10001,10,44
10001,11,45
10001,12,56
10001,13,41
10001,14,51
10001,15,48
10001,16,52
10001,17,49
10001,18,69
10001,19,55
10001,20,65
10001,21,103
10001,22,96
10001,23,124
10002,0,432
10002,1,288
10002,2,171
10002,3,91
10002,4,63
10002,5,37
10002,6,41
10002,7,71
10002,8,81
10002,9,124
10002,10,96
10002,11,99
10002,12,72
10002,13,98
10002,14,87
10002,15,104
10002,16,107
10002,17,107
10002,18,163
10002,19,129
10002,20,160
10002,21,271
10002,22,380
10002,23,473
10003,0,192
10003,1,110
10003,2,60
10003,3,38
10003,4,33
10003,5,18
10003,6,22
10003,7,34
10003,8,54
10003,9,44
10003,10,54
10003,11,49
10003,12,62
10003,13,72
10003,14,105
10003,15,79
10003,16,85
10003,17,64
10003,18,98
10003,19,76
10003,20,111
10003,21,121
10003,22,201
10003,23,201
10004,0,4
10004,1,5
10004,2,1
10004,3,1
10004,4,2
10004,5,4
10004,6,5
10004,7,15
10004,8,18
10004,9,20
10004,10,30
10004,11,27
10004,12,38
10004,13,45
10004,14,61
10004,15,29
10004,16,38
10004,17,28
10004,18,17
10004,19,5
10004,20,4
10004,21,2
10004,22,14
10004,23,8
10005,0,20
10005,1,7
10005,2,8
10005,3,4
10005,4,1
10005,5,3
10005,6,6
10005,7,17
10005,8,16
10005,9,17
10005,10,11
10005,11,16
10005,12,24
10005,13,67
10005,14,59
10005,15,34
10005,16,38
10005,17,13
10005,18,22
10005,19,9
10005,20,16
10005,21,14
10005,22,13
10005,23,14
10006,0,9
10006,1,4
10006,2,5
10006,3,2
10006,4,3
10006,5,6
10006,6,1
10006,7,5
10006,8,9
10006,9,10
10006,10,20
10006,11,12
10006,12,20
10006,13,27
10006,14,24
10006,15,15
10006,16,15
10006,17,7
10006,18,6
10006,19,2
10006,20,8
10006,21,6
10006,22,10
10006,23,6
10007,0,11
10007,1,5
10007,2,2
10007,3,1
10007,4,4
10007,6,3
10007,7,15
10007,8,19
10007,9,23
10007,10,46
10007,11,36
10007,12,63
10007,13,68
10007,14,47
10007,15,56
10007,16,49
10007,17,46
10007,18,30
10007,19,12
10007,20,20
10007,21,32
10007,22,30
10007,23,26
10009,0,345
10009,1,201
10009,2,125
10009,3,98
10009,4,40
10009,5,37
10009,6,32
10009,7,42
10009,8,64
10009,9,54
10009,10,54
10009,11,83
10009,12,89
10009,13,104
10009,14,101
10009,15,95
10009,16,99
10009,17,90
10009,18,98
10009,19,124
10009,20,156
10009,21,210
10009,22,334
10009,23,418
10010,0,70
10010,1,54
10010,2,43
10010,3,21
10010,4,17
10010,5,4
10010,6,10
10010,7,17
10010,8,18
10010,9,34
10010,10,18
10010,11,22
10010,12,26
10010,13,26
10010,14,28
