zip,year,value
10000,2010,5.4
10000,2011,5.866197183
10000,2012,6.564102564
10000,2013,5.319607843
10000,2014,4.576785714
10000,2015,4.15625
10000,2016,7.150909091
10000,2017,6.516981132
10000,2018,4.176612903
10001,2010,4.173443983
10001,2011,3.951089918
10001,2012,4.390071556
10001,2013,4.46504928
10001,2014,4.344977843
10001,2015,4.455722892
10001,2016,4.811449942
10001,2017,5.071679298
10001,2018,5.360703812
10002,2010,5.048546144
10002,2011,5.559207459
10002,2012,5.098125404
10002,2013,4.312351113
10002,2014,4.55640684
10002,2015,5.110292887
10002,2016,5.405724865
10002,2017,5.388122805
10002,2018,5.992067681
10003,2010,4.897743056
10003,2011,4.828211227
10003,2012,4.882035435
10003,2013,5.275576208
10003,2014,4.985288915
10003,2015,5.875301787
10003,2016,6.76716706
10003,2017,6.071703235
10003,2018,5.584856753
10004,2010,4.197297297
10004,2011,5.627810651
10004,2012,4.922794118
10004,2013,4.267821782
10004,2014,4.996283784
10004,2015,4.087912088
10004,2016,5.380457746
10004,2017,4.895435685
10004,2018,5.342222222
10005,2010,4.725454545
10005,2011,4.618819188
10005,2012,3.856016598
10005,2013,5.232113821
10005,2014,6.021315789
10005,2015,4.543835616
10005,2016,5.206587615
10005,2017,4.874171271
10005,2018,5.45
10006,2010,2.357142857
10006,2011,6.613917526
10006,2012,5.348148148
10006,2013,5.095049505
10006,2014,5.032236842
10006,2015,6.816908213
10006,2016,5.135026738
10006,2017,5.273404255
10006,2018,5.828042328
10007,2010,3.365517241
10007,2011,4.832283465
10007,2012,5.119008264
10007,2013,5.879069767
10007,2014,5.318781726
10007,2015,4.571756757
10007,2016,6.175635767
10007,2017,5.393198653
10007,2018,5.658510638
10009,2010,4.764083458
10009,2011,4.524224578
10009,2012,5.099501827
10009,2013,4.506087181
10009,2014,4.715340386
10009,2015,5.709755597
10009,2016,6.990746474
10009,2017,6.406787634
10009,2018,5.538329563
10010,2010,5.392513369
10010,2011,4.461547619
10010,2012,5.303646564
10010,2013,5.088315789
10010,2014,4.919682059
10010,2015,4.394589433
10010,2016,4.985846724
10010,2017,5.791428571
10010,2018,6.661686474
10011,2010,4.445454545
10011,2011,4.964525463
10011,2012,4.869757174
10011,2013,4.645297407
10011,2014,4.602748585
10011,2015,5.270261543
10011,2016,5.379582543
10011,2017,5.580497622
10011,2018,5.575990903
10012,2010,5.005714286
10012,2011,4.994539615
10012,2012,4.935926366
10012,2013,4.761654846
10012,2014,4.744231667
10012,2015,5.78729352
10012,2016,5.906279863
10012,2017,5.907567568
10012,2018,5.383197631
10013,2010,4.065165877
10013,2011,4.538899431
10013,2012,4.183106657
10013,2013,3.645642202
10013,2014,4.360546194
10013,2015,4.738187856
10013,2016,5.051271802
10013,2017,4.049348414
10013,2018,5.111479501
10014,2010,5.727669903
