zip,year,count,process_time
10000,2010,5,5.4
10000,2011,71,5.866197183
10000,2012,39,6.564102564
10000,2013,51,5.319607843
10000,2014,56,4.576785714
10000,2015,64,4.15625
10000,2016,55,7.150909091
10000,2017,106,6.516981132
10000,2018,124,4.176612903
10001,2010,482,4.173443983
10001,2011,1468,3.951089918
10001,2012,1118,4.390071556
10001,2013,1319,4.46504928
10001,2014,1354,4.344977843
10001,2015,1992,4.455722892
10001,2016,3476,4.811449942
10001,2017,2507,5.071679298
10001,2018,2387,5.360703812
10002,2010,791,5.048546144
10002,2011,2574,5.559207459
10002,2012,3094,5.098125404
10002,2013,3862,4.312351113
10002,2014,4503,4.55640684
10002,2015,5975,5.110292887
10002,2016,7022,5.405724865
10002,2017,7687,5.388122805
10002,2018,6442,5.992067681
10003,2010,576,4.897743056
10003,2011,2102,4.828211227
10003,2012,2427,4.882035435
10003,2013,2690,5.275576208
10003,2014,3392,4.985288915
10003,2015,4142,5.875301787
10003,2016,4663,6.76716706
10003,2017,4421,6.071703235
10003,2018,3665,5.584856753
10004,2010,37,4.197297297
10004,2011,169,5.627810651
10004,2012,136,4.922794118
10004,2013,202,4.267821782
10004,2014,296,4.996283784
10004,2015,455,4.087912088
10004,2016,568,5.380457746
10004,2017,723,4.895435685
10004,2018,675,5.342222222
10005,2010,55,4.725454545
10005,2011,271,4.618819188
10005,2012,241,3.856016598
10005,2013,246,5.232113821
10005,2014,380,6.021315789
10005,2015,584,4.543835616
10005,2016,759,5.206587615
10005,2017,724,4.874171271
10005,2018,678,5.45
10006,2010,14,2.357142857
10006,2011,194,6.613917526
10006,2012,81,5.348148148
10006,2013,101,5.095049505
10006,2014,152,5.032236842
10006,2015,207,6.816908213
10006,2016,374,5.135026738
10006,2017,282,5.273404255
10006,2018,378,5.828042328
10007,2010,58,3.365517241
10007,2011,254,4.832283465
10007,2012,242,5.119008264
10007,2013,301,5.879069767
10007,2014,394,5.318781726
10007,2015,740,4.571756757
10007,2016,1219,6.175635767
10007,2017,1485,5.393198653
10007,2018,1034,5.658510638
10009,2010,671,4.764083458
10009,2011,2547,4.524224578
10009,2012,3011,5.099501827
10009,2013,3877,4.506087181
10009,2014,4348,4.715340386
10009,2015,4869,5.709755597
10009,2016,5814,6.990746474
10009,2017,5952,6.406787634
10009,2018,5304,5.538329563
10010,2010,187,5.392513369
10010,2011,840,4.461547619
10010,2012,713,5.303646564
10010,2013,950,5.088315789
10010,2014,1321,4.919682059
10010,2015,1571,4.394589433
10010,2016,1618,4.985846724
10010,2017,1925,5.791428571
10010,2018,1767,6.661686474
10011,2010,495,4.445454545
10011,2011,1728,4.964525463
10011,2012,1812,4.869757174
10011,2013,1967,4.645297407
10011,2014,2474,4.602748585
