zip,year,type,count,efficiency
10000,2010,Noise,3,2.833333333
10000,2010,Street condition related,2,9.25
10000,2011,Disturbance,1,0.8
10000,2011,Miscellaneous,3,13.93333333
10000,2011,Noise,55,5.812727273
10000,2011,Street condition related,6,5.033333333
10000,2011,Traffic related,6,4
10000,2012,Disturbance,1,1.3
10000,2012,Miscellaneous,1,0.6
10000,2012,Noise,32,6.234375
10000,2012,Street condition related,2,7.55
10000,2012,Traffic related,3,13.16666667
10000,2013,Disturbance,3,2.766666667
10000,2013,Miscellaneous,1,0.5
10000,2013,Noise,37,5.5
10000,2013,Street condition related,8,6.925
10000,2013,Traffic related,2,1.8
10000,2014,Disturbance,1,1.9
10000,2014,Miscellaneous,1,16.5
10000,2014,Noise,41,3.926829268
10000,2014,Street condition related,6,6.133333333
10000,2014,Traffic related,7,5.728571429
10000,2015,Miscellaneous,5,4.94
10000,2015,Noise,44,3.870454545
10000,2015,Street condition related,9,4.466666667
10000,2015,Traffic related,6,5.133333333
10000,2016,Miscellaneous,5,5.92
10000,2016,Noise,37,7.656756757
10000,2016,Street condition related,5,9.18
10000,2016,Traffic related,8,4.3125
10000,2017,Disturbance,1,15.7
10000,2017,Miscellaneous,4,8.75
10000,2017,Noise,90,6.17
10000,2017,Street condition related,6,10.7
10000,2017,Traffic related,5,4.12
10000,2018,Disturbance,2,6.55
10000,2018,Miscellaneous,3,6.266666667
10000,2018,Noise,110,4.34
10000,2018,Street condition related,5,0.94
10000,2018,Traffic related,4,0.975
10001,2010,0,2,1.35
10001,2010,Disturbance,1,2.2
10001,2010,Miscellaneous,5,3.56
10001,2010,Noise,362,4.074033149
10001,2010,Street condition related,17,6.023529412
10001,2010,Traffic related,95,4.333684211
10001,2011,Disturbance,10,7.01
10001,2011,Miscellaneous,27,4.311111111
10001,2011,Noise,1092,3.599084249
10001,2011,Street condition related,90,5.978888889
10001,2011,Traffic related,249,4.6
10001,2012,Disturbance,7,5.314285714
10001,2012,Miscellaneous,30,5.286666667
10001,2012,Noise,811,3.97324291
10001,2012,Street condition related,56,6.116071429
10001,2012,Traffic related,214,5.362149533
10001,2013,Disturbance,7,7.771428571
10001,2013,Miscellaneous,38,5.255263158
10001,2013,Noise,959,4.253493222
10001,2013,Street condition related,56,5.142857143
10001,2013,Traffic related,259,4.896525097
10001,2014,Disturbance,4,6.625
10001,2014,Miscellaneous,78,4.955128205
10001,2014,Noise,849,4.091519435
10001,2014,Street condition related,44,5.311363636
10001,2014,Traffic related,379,4.650923483
10001,2015,Disturbance,3,5.366666667
10001,2015,Miscellaneous,90,4.097777778
10001,2015,Noise,1288,4.266537267
10001,2015,Street condition related,142,5.230985915
10001,2015,Traffic related,469,4.803411514
10001,2016,Disturbance,7,3.042857143
10001,2016,Miscellaneous,83,4.713253012
10001,2016,Noise,2594,4.754934464
10001,2016,Street condition related,202,3.967821782
10001,2016,Traffic related,590,5.383559322
10001,2017,Disturbance,19,4.389473684
10001,2017,Miscellaneous,66,4.475757576
10001,2017,Noise,1660,4.912409639
10001,2017,Street condition related,99,6.975757576
10001,2017,Traffic related,663,5.265007541
10001,2018,Disturbance,19,3.326315789
10001,2018,Miscellaneous,93,4.778494624
10001,2018,Noise,1399,5.136240172
10001,2018,Street condition related,73,5.950684932
10001,2018,Traffic related,803,5.81369863
10002,2010,0,1,0.3
10002,2010,Disturbance,5,2.22
10002,2010,Miscellaneous,5,1.98
10002,2010,Noise,627,5.085486443
10002,2010,Street condition related,16,8.64375
10002,2010,Traffic related,137,4.709489051
10002,2011,Disturbance,28,4.107142857
10002,2011,Miscellaneous,34,4.402941176
10002,2011,Noise,2013,5.649428713
10002,2011,Street condition related,52,5.178846154
10002,2011,Traffic related,447,5.37606264
10002,2012,Disturbance,16,4.65
10002,2012,Miscellaneous,53,5.305660377
10002,2012,Noise,2656,5.171423193
10002,2012,Street condition related,40,5.4025
10002,2012,Traffic related,329,4.45775076
10002,2013,Disturbance,19,4.810526316
10002,2013,Miscellaneous,44,3.922727273
10002,2013,Noise,3356,4.189272944
10002,2013,Street condition related,47,6.238297872
10002,2013,Traffic related,396,5.146212121
10002,2014,Disturbance,26,3.088461538
10002,2014,Miscellaneous,97,3.956701031
10002,2014,Noise,3766,4.551779076
10002,2014,Street condition related,66,3.98030303
10002,2014,Traffic related,548,4.833394161
10002,2015,Disturbance,22,3.745454545
10002,2015,Miscellaneous,110,5.960909091
10002,2015,Noise,4788,5.02059315
10002,2015,Street condition related,51,6.937254902
10002,2015,Traffic related,1004,5.381972112
10002,2016,Disturbance,13,7.938461538
10002,2016,Miscellaneous,166,6.628915663
10002,2016,Noise,5442,5.405126792
10002,2016,Street condition related,68,5.970588235
10002,2016,Traffic related,1333,5.202325581
10002,2017,Disturbance,49,4.848979592
10002,2017,Miscellaneous,116,5.378448276
10002,2017,Noise,6395,5.283346364
10002,2017,Street condition related,76,6.272368421
10002,2017,Traffic related,1051,5.98791627
10002,2018,Disturbance,57,5.452631579
10002,2018,Miscellaneous,73,7.523287671
10002,2018,Noise,4876,6.054757998
10002,2018,Street condition related,79,6.859493671
10002,2018,Traffic related,1357,5.656595431
10003,2010,0,6,9.7
10003,2010,Disturbance,3,0.5
10003,2010,Miscellaneous,9,6
10003,2010,Noise,457,4.665864333
10003,2010,Street condition related,23,5.626086957
10003,2010,Traffic related,78,5.714102564
10003,2011,Disturbance,30,4.6
10003,2011,Miscellaneous,38,6.526315789
10003,2011,Noise,1651,4.5729255
10003,2011,Street condition related,140,6.795
10003,2011,Traffic related,243,5.19218107
10003,2012,Disturbance,20,6.305
